Juegos{game='Brink', platform='PC', developer='Splash Damage', genre='Action', numberPlayers='16  Online', rating='T', releaseDate='May  9, 2011', positiveCritics=17, neutralCritics=19, negativeCritics=2, positiveUsers=135, neutralUsers=62, negativeUsers=80, metascore=70.0, userScore=60.0}
Juegos{game='Lume', platform='PC', developer='State of Play Games', genre='Miscellaneous', numberPlayers='', rating='', releaseDate='May  9, 2011', positiveCritics=2, neutralCritics=5, negativeCritics=0, positiveUsers=2, neutralUsers=4, negativeUsers=8, metascore=69.0, userScore=50.0}
Juegos{game='Hydrophobia Prophecy', platform='PC', developer='Dark Energy Digital', genre='Action Adventure', numberPlayers='', rating='M', releaseDate='May  9, 2011', positiveCritics=9, neutralCritics=7, negativeCritics=2, positiveUsers=19, neutralUsers=23, negativeUsers=16, metascore=64.0, userScore=60.0}
Juegos{game='Garshasp: The Monster Slayer', platform='PC', developer='Dead Mage Studio', genre='Action Adventure', numberPlayers='1 Player', rating='', releaseDate='May  9, 2011', positiveCritics=1, neutralCritics=11, negativeCritics=7, positiveUsers=3, neutralUsers=3, negativeUsers=7, metascore=49.0, userScore=64.0}
Juegos{game='LEGO Pirates of the Caribbean: The Video Game', platform='3DS', developer=''Traveller''s Tales'', genre='Action Adventure', numberPlayers='1 Player', rating='E10+', releaseDate='May 10, 2011', positiveCritics=7, neutralCritics=8, negativeCritics=1, positiveUsers=5, neutralUsers=4, negativeUsers=1, metascore=71.0, userScore=71.0}
Juegos{game='Dream Trigger 3D', platform='3DS', developer='Art Co., Ltd.', genre='Action', numberPlayers='2  Online', rating='E', releaseDate='May 10, 2011', positiveCritics=2, neutralCritics=14, negativeCritics=8, positiveUsers=13, neutralUsers=1, negativeUsers=5, metascore=54.0, userScore=63.0}
Juegos{game='The First Templar', platform='PC', developer='Haemimont, Haemimont Games', genre='Action Adventure', numberPlayers='1 Player', rating='T', releaseDate='May 12, 2011', positiveCritics=1, neutralCritics=16, negativeCritics=2, positiveUsers=4, neutralUsers=9, negativeUsers=4, metascore=57.0, userScore=59.0}
Juegos{game='Terraria', platform='PC', developer='Re-Logic', genre='Action', numberPlayers='Up to 8 ', rating='T', releaseDate='May 16, 2011', positiveCritics=25, neutralCritics=4, negativeCritics=0, positiveUsers=495, neutralUsers=53, negativeUsers=26, metascore=83.0, userScore=86.0}
Juegos{game='The Witcher 2: Assassins of Kings', platform='PC', developer='CD Projekt Red Studio', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='May 17, 2011', positiveCritics=70, neutralCritics=6, negativeCritics=0, positiveUsers=1155, neutralUsers=127, negativeUsers=77, metascore=88.0, userScore=85.0}
Juegos{game='Fable III', platform='PC', developer='Lionhead Studios', genre='Role-Playing', numberPlayers='1 Player', rating='M', releaseDate='May 17, 2011', positiveCritics=23, neutralCritics=16, negativeCritics=0, positiveUsers=35, neutralUsers=38, negativeUsers=67, metascore=75.0, userScore=55.0}
